protein,size,pct,ipct
Q9NPG2,151,0.0,0.013245033112582781
Q9UIH9,416,0.6706730769230769,0.11778846153846154
O43820,417,0.03357314148681055,0.0407673860911271
Q9Y258,94,0.0,0.24468085106382978
P60411,292,0.958904109589041,0.0410958904109589
Q3V5L5,792,0.125,0.1414141414141414
P15502,786,0.9834605597964376,0.01653944020356234
Q8N387,334,0.5329341317365269,0.41916167664670656
Q4V321,117,0.008547008547008548,0.9914529914529915
P10145,99,0.0,0.0
Q8IZF6,3080,0.6698051948051948,0.05909090909090909
A0A0B4J274,112,0.0,0.0
Q6JVE6,187,0.06417112299465241,0.43315508021390375
Q9UI36,758,0.5857519788918206,0.19129287598944592
Q5SZD4,288,0.0,0.0
P59544,299,0.0,0.0
P57735,213,0.09859154929577464,0.11737089201877934
A8MVZ5,291,0.006872852233676976,0.07903780068728522
O60331,668,0.43263473053892215,0.15718562874251496
P56749,244,0.11475409836065574,0.26229508196721313
P12829,197,0.0,0.15228426395939088
Q9NVN8,582,0.18384879725085912,0.21477663230240548
Q9Y421,112,0.0,0.30357142857142855
O43513,233,0.0944206008583691,0.15450643776824036
Q5JT82,389,0.596401028277635,0.20822622107969152
A6ND36,823,0.5504252733900364,0.19562575941676794
O60476,641,0.09204368174726989,0.07956318252730109
Q9UH64,79,0.5189873417721519,0.4810126582278481
Q8N4L8,307,0.30944625407166126,0.36156351791530944
Q96CS2,278,0.007194244604316547,0.17985611510791366
P13637,1013,0.011846001974333662,0.04244817374136229
Q9NTN9,838,0.162291169451074,0.11336515513126491
Q9ULW0,747,0.2570281124497992,0.4243641231593039
Q8NCW6,608,0.08881578947368421,0.10526315789473684
Q9BRR8,931,0.3651987110633727,0.48872180451127817
Q9H2X6,1198,0.6719532554257095,0.0325542570951586
Q9NZ43,259,0.138996138996139,0.2471042471042471
P59534,338,0.05917159763313609,0.15680473372781065
Q969Q5,203,0.08866995073891626,0.09852216748768473
Q14507,147,0.0,0.0
O95870,558,0.03225806451612903,0.11469534050179211
Q9H5J0,574,0.6045296167247387,0.13588850174216027
Q9HD87,102,0.29411764705882354,0.7058823529411765
Q99627,209,0.0430622009569378,0.18181818181818182
P17538,263,0.015209125475285171,0.07984790874524715
Q16281,694,0.22478386167146974,0.09221902017291066
Q5TCH4,519,0.0038535645472061657,0.038535645472061654
O60306,1485,0.08013468013468013,0.04579124579124579
Q6NW34,567,0.37037037037037035,0.1728395061728395
Q5VSP4,162,0.006172839506172839,0.11728395061728394
P84243,136,0.007352941176470588,0.25
Q14195,570,0.07894736842105263,0.07894736842105263
Q569K4,471,0.3991507430997877,0.4140127388535032
Q8IX90,412,0.38106796116504854,0.38106796116504854
P0DMR3,200,0.665,0.335
Q96RD2,323,0.01238390092879257,0.10835913312693499
Q5T7B8,1368,0.6176900584795322,0.0847953216374269
Q6U7Q0,402,0.14925373134328357,0.19154228855721392
Q92781,318,0.0,0.0
P0C854,216,0.9444444444444444,0.05555555555555555
P36543,226,0.0,0.004424778761061947
P17931,250,0.344,0.104
Q01415,458,0.0,0.0
Q86X52,802,0.08354114713216958,0.12718204488778054
Q14117,519,0.0,0.011560693641618497
A8MUL3,147,1.0,0.0
