vep,region,recall,specificity,auc,type
BayesDel,ordered,0.876861882,0.744772359,0.816530612,Clinical-trained
Polyphen2_HumDiv,ordered,0.773950575,0.602917153,0.688433864,Clinical-trained
AlphaMissense,ordered,0.83894719,0.668466868,0.757852199,Population-tuned
PROVEAN,ordered,0.791892349,0.613651243,0.703110599,Population-free
ClinPred,ordered,0.860528097,0.663972904,0.769711776,Clinical-trained
MetaRNN,ordered,0.884732566,0.702803565,0.800811378,Clinical-trained
PonP2,ordered,0.850203114,0.638036575,0.745630888,Clinical-trained
SIFT4G,ordered,0.729942451,0.657459134,0.693435137,Population-free
VESPAl,ordered,0.718348003,0.677139848,0.69965581,Clinical-trained
Envision,ordered,0.739251862,0.59556283,0.667407346,Population-free
ESM-1b,ordered,0.808395396,0.639410993,0.728619946,Population-free
VARITY_R,ordered,0.879316181,0.650550903,0.775786033,Clinical-trained
GEMME,ordered,0.778859174,0.610957136,0.695322199,Population-free
SIFT,ordered,0.846140826,0.583901447,0.715021136,Population-free
SNPred,ordered,0.905974949,0.733315435,0.828473505,Clinical-trained
MutFormer,ordered,0.844955992,0.832393304,0.839214857,Clinical-trained
VEST4,ordered,0.868060257,0.652268151,0.763469417,Clinical-trained
REVEL,ordered,0.892772512,0.722746564,0.815732055,Clinical-trained
MutScore,ordered,0.861628301,0.768851003,0.818262561,Clinical-trained
MutPred,ordered,0.798408937,0.674594438,0.742658315,Clinical-trained
FATHMM,ordered,0.727234259,0.755916399,0.741575329,Clinical-trained
MetaSVM,ordered,0.820751523,0.756420318,0.790300084,Clinical-trained
UNEECON,ordered,0.706076506,0.719273861,0.713097887,Population-tuned
CADD,ordered,0.844278944,0.566197169,0.70803553,Clinical-trained
DeMaSk,ordered,0.605873392,0.755035574,0.684368168,Population-free
DANN,ordered,0.862136087,0.401919641,0.634075406,Clinical-trained
ESM-1v,ordered,0.78105958,0.637160913,0.71913217,Population-free
DEOGEN2,ordered,0.863659445,0.730182464,0.802865501,Clinical-trained
CPT,ordered,0.845209885,0.621805847,0.742763401,Population-free
MPC,ordered,0.667230873,0.667406367,0.669863613,Clinical-trained
VARITY_ER,ordered,0.860612729,0.656891193,0.761889821,Clinical-trained
Polyphen2_HumVar,ordered,0.797731889,0.586768001,0.694442958,Clinical-trained
LIST-S2,ordered,0.78689912,0.548219246,0.673345267,Population-tuned
BayesDel,intermediate,0.841292812,0.852518048,0.846953823,Clinical-trained
Polyphen2_HumDiv,intermediate,0.752532562,0.68334928,0.719949803,Clinical-trained
AlphaMissense,intermediate,0.809454896,0.774123684,0.793488299,Population-tuned
PROVEAN,intermediate,0.720694645,0.768983213,0.745995155,Population-free
ClinPred,intermediate,0.812831645,0.794911716,0.805213361,Clinical-trained
MetaRNN,intermediate,0.784370478,0.864640051,0.827480169,Clinical-trained
PonP2,intermediate,0.803183792,0.717303065,0.762411831,Clinical-trained
SIFT4G,intermediate,0.684997588,0.749018585,0.72396842,Population-free
VESPAl,intermediate,0.679208876,0.799222986,0.741257649,Clinical-trained
Envision,intermediate,0.694163049,0.661471108,0.678744087,Population-free
ESM-1b,intermediate,0.748191027,0.77401641,0.762498917,Population-free
VARITY_R,intermediate,0.788712012,0.823420602,0.807310374,Clinical-trained
GEMME,intermediate,0.755426918,0.688956539,0.72362286,Population-free
SIFT,intermediate,0.820067535,0.652686208,0.731613738,Population-free
SNPred,intermediate,0.8355041,0.880131049,0.859680186,Clinical-trained
MutFormer,intermediate,0.846599132,0.877243339,0.862842304,Clinical-trained
VEST4,intermediate,0.783405692,0.794972602,0.790875681,Clinical-trained
REVEL,intermediate,0.842257598,0.854301122,0.848371011,Clinical-trained
MutScore,intermediate,0.795947902,0.872172451,0.834640688,Clinical-trained
MutPred,intermediate,0.656536421,0.868139515,0.765076892,Clinical-trained
