first_vep,second_vep,region,kappa
VARITY_ER,LIST-S2,disordered,0.1944056963728676
LIST-S2,VARITY_ER,disordered,0.1944056963728676
VARITY_ER,LIST-S2,intermediate,0.2977828054737552
LIST-S2,VARITY_ER,intermediate,0.2977828054737552
VARITY_ER,LIST-S2,ordered,0.3385337451899453
LIST-S2,VARITY_ER,ordered,0.3385337451899453
VARITY_ER,SNPred,disordered,0.3005826706550801
SNPred,VARITY_ER,disordered,0.3005826706550801
VARITY_ER,SNPred,intermediate,0.5075018719292842
SNPred,VARITY_ER,intermediate,0.5075018719292842
VARITY_ER,SNPred,ordered,0.5801667114328747
SNPred,VARITY_ER,ordered,0.5801667114328747
VARITY_ER,PonP2,disordered,0.2127939518074878
PonP2,VARITY_ER,disordered,0.2127939518074878
VARITY_ER,PonP2,intermediate,0.3184412403792892
PonP2,VARITY_ER,intermediate,0.3184412403792892
VARITY_ER,PonP2,ordered,0.3792505448447114
PonP2,VARITY_ER,ordered,0.3792505448447114
VARITY_ER,DANN,disordered,0.1202116087502427
DANN,VARITY_ER,disordered,0.1202116087502427
VARITY_ER,DANN,intermediate,0.2363300391874812
DANN,VARITY_ER,intermediate,0.2363300391874812
VARITY_ER,DANN,ordered,0.3150294180013037
DANN,VARITY_ER,ordered,0.3150294180013037
VARITY_ER,VEST4,disordered,0.362349076649674
VEST4,VARITY_ER,disordered,0.362349076649674
VARITY_ER,VEST4,intermediate,0.5042015526156614
VEST4,VARITY_ER,intermediate,0.5042015526156614
VARITY_ER,VEST4,ordered,0.5556707166843022
VEST4,VARITY_ER,ordered,0.5556707166843022
VARITY_ER,VARITY_R,disordered,0.6916136936315156
VARITY_R,VARITY_ER,disordered,0.6916136936315156
VARITY_ER,VARITY_R,intermediate,0.815912439101983
VARITY_R,VARITY_ER,intermediate,0.815912439101983
VARITY_ER,VARITY_R,ordered,0.8457003362533104
VARITY_R,VARITY_ER,ordered,0.8457003362533104
VARITY_ER,MutScore,disordered,0.4588921996079453
MutScore,VARITY_ER,disordered,0.4588921996079453
VARITY_ER,MutScore,intermediate,0.6020503740825955
MutScore,VARITY_ER,intermediate,0.6020503740825955
VARITY_ER,MutScore,ordered,0.6116440959936227
MutScore,VARITY_ER,ordered,0.6116440959936227
VARITY_ER,PROVEAN,disordered,0.4112946342175109
PROVEAN,VARITY_ER,disordered,0.4112946342175109
VARITY_ER,PROVEAN,intermediate,0.5821254424667485
PROVEAN,VARITY_ER,intermediate,0.5821254424667485
VARITY_ER,PROVEAN,ordered,0.6293773579762281
PROVEAN,VARITY_ER,ordered,0.6293773579762281
VARITY_ER,Polyphen2_HumVar,disordered,0.2606631865990547
Polyphen2_HumVar,VARITY_ER,disordered,0.2606631865990547
VARITY_ER,Polyphen2_HumVar,intermediate,0.4196101464341777
Polyphen2_HumVar,VARITY_ER,intermediate,0.4196101464341777
VARITY_ER,Polyphen2_HumVar,ordered,0.5037329248962947
Polyphen2_HumVar,VARITY_ER,ordered,0.5037329248962947
VARITY_ER,VESPAl,disordered,0.243434893129614
VESPAl,VARITY_ER,disordered,0.243434893129614
VARITY_ER,VESPAl,intermediate,0.4334609970855286
VESPAl,VARITY_ER,intermediate,0.4334609970855286
VARITY_ER,VESPAl,ordered,0.4823042242556664
VESPAl,VARITY_ER,ordered,0.4823042242556664
VARITY_ER,DeMaSk,disordered,0.2223051727468584
DeMaSk,VARITY_ER,disordered,0.2223051727468584
VARITY_ER,DeMaSk,intermediate,0.4103333018440188
DeMaSk,VARITY_ER,intermediate,0.4103333018440188
VARITY_ER,DeMaSk,ordered,0.4796727192596796
DeMaSk,VARITY_ER,ordered,0.4796727192596796
VARITY_ER,DEOGEN2,disordered,0.2878996614408496
DEOGEN2,VARITY_ER,disordered,0.2878996614408496
VARITY_ER,DEOGEN2,intermediate,0.3744436647676281
DEOGEN2,VARITY_ER,intermediate,0.3744436647676281
VARITY_ER,DEOGEN2,ordered,0.3664700462454432
DEOGEN2,VARITY_ER,ordered,0.3664700462454432
VARITY_ER,BayesDel,disordered,0.35645839247539
BayesDel,VARITY_ER,disordered,0.35645839247539
