gene,uniprot_id,inheritance
A2ML1,A8K2U0,Autosomal dominant
AAAS,Q9NRG9,Autosomal recessive
AAGAB,Q6PD74,Autosomal dominant
AARS1,P49588,Autosomal dominant
AARS1,P49588,Autosomal recessive
AARS2,Q5JTZ9,Autosomal recessive
AASS,Q9UDR5,Autosomal recessive
ABAT,P80404,Autosomal recessive
ABCA1,O95477,Autosomal dominant
ABCA1,O95477,Autosomal recessive
ABCA12,Q86UK0,Autosomal recessive
ABCA2,Q9BZC7,Autosomal recessive
ABCA3,Q99758,Autosomal recessive
ABCA4,P78363,Autosomal dominant
ABCA4,P78363,Autosomal recessive
ABCA5,Q8WWZ7,Autosomal recessive
ABCA7,Q8IZY2,Autosomal dominant
ABCB11,O95342,Autosomal recessive
ABCB4,P21439,Autosomal dominant
ABCB4,P21439,Autosomal recessive
ABCB6,Q9NP58,Autosomal dominant
ABCB7,O75027,X-linked recessive
ABCC1,P33527,Autosomal dominant
ABCC11,Q96J66,Autosomal dominant
ABCC2,Q92887,Autosomal recessive
ABCC6,O95255,Autosomal dominant
ABCC6,O95255,Autosomal recessive
ABCC8,Q09428,Autosomal dominant
ABCC8,Q09428,Autosomal recessive
ABCC9,O60706,Autosomal dominant
ABCC9,O60706,Autosomal recessive
ABCD1,P33897,X-linked recessive
ABCD3,P28288,Autosomal recessive
ABCD4,O14678,Autosomal recessive
ABCG2,Q9UNQ0,Autosomal dominant
ABCG5,Q9H222,Autosomal recessive
ABCG8,Q9H221,Autosomal recessive
ABHD12,Q8N2K0,Autosomal recessive
ABHD16A,O95870,Autosomal recessive
ABHD5,Q8WTS1,Autosomal recessive
ABL1,P00519,Autosomal dominant
ABL1,P00519,Somatic mutation
ACACA,Q13085,Autosomal recessive
ACAD8,Q9UKU7,Autosomal recessive
ACAD9,Q9H845,Autosomal recessive
ACADM,P11310,Autosomal recessive
ACADS,P16219,Autosomal recessive
ACADSB,P45954,Autosomal recessive
ACADVL,P49748,Autosomal recessive
ACAN,P16112,Autosomal dominant
ACAN,P16112,Autosomal recessive
ACAT1,P24752,Autosomal recessive
ACAT2,Q9BWD1,Isolated cases
ACBD5,Q5T8D3,Autosomal recessive
ACD,Q96AP0,Autosomal dominant
ACD,Q96AP0,Autosomal recessive
ACE,P12821,Autosomal recessive
ACER3,Q9NUN7,Autosomal recessive
ACKR1,Q16570,Autosomal dominant
ACKR1,Q16570,Autosomal recessive
ACKR3,P25106,Autosomal recessive
ACO2,Q99798,Autosomal recessive
ACO2,Q99798,Autosomal dominant
ACOX1,Q15067,Autosomal dominant
ACOX1,Q15067,Autosomal recessive
ACOX2,Q99424,Autosomal recessive
ACP2,P11117,Autosomal recessive
ACP4,Q9BZG2,Autosomal recessive
ACP5,P13686,Autosomal recessive
ACSL4,O60488,X-linked dominant
ACTA1,P68133,Autosomal dominant
ACTA1,P68133,Autosomal recessive
ACTA2,P62736,Autosomal dominant
ACTB,P60709,Autosomal dominant
ACTC1,P68032,Autosomal dominant
ACTG1,P63261,Autosomal dominant
ACTG2,P63267,Autosomal dominant
ACTL6B,O94805,Autosomal dominant
ACTL6B,O94805,Autosomal recessive
ACTL9,Q8TC94,Autosomal recessive
ACTN1,P12814,Autosomal dominant
ACTN2,P35609,Autosomal dominant
ACTN3,Q08043,Autosomal recessive
ACTN4,O43707,Autosomal dominant
ACVR1,Q04771,Autosomal dominant
ACVRL1,P37023,Autosomal dominant
ACY1,Q03154,Autosomal recessive
ADA,P00813,Autosomal recessive
ADA,P00813,Somatic mosaicism
ADA2,Q9NZK5,Autosomal recessive
ADAM10,O14672,Autosomal dominant
ADAM17,P78536,Autosomal recessive
ADAM22,Q9P0K1,Autosomal recessive
ADAM9,Q13443,Autosomal recessive
ADAMTS10,Q9H324,Autosomal recessive
ADAMTS13,Q76LX8,Autosomal recessive
ADAMTS17,Q8TE56,Autosomal recessive
ADAMTS18,Q8TE60,Autosomal recessive
ADAMTS19,Q8TE59,Autosomal recessive
ADAMTS2,O95450,Autosomal recessive
ADAMTS3,O15072,Autosomal recessive
ADAMTSL2,Q86TH1,Autosomal recessive
ADAMTSL4,Q6UY14,Autosomal recessive
ADAR,P55265,Autosomal dominant
ADAR,P55265,Autosomal recessive
ADARB1,P78563,Autosomal recessive
ADAT3,Q96EY9,Autosomal recessive
ADCY1,Q08828,Autosomal recessive
ADCY10,Q96PN6,Autosomal dominant
ADCY3,O60266,Autosomal recessive
ADCY5,O95622,Autosomal dominant
ADCY5,O95622,Autosomal recessive
ADCY6,O43306,Autosomal recessive
ADD1,P35611,Multifactorial
ADD3,Q9UEY8,Autosomal recessive
ADGRE2,Q9UHX3,Autosomal dominant
ADGRG1,Q9Y653,Autosomal recessive
ADGRG2,Q8IZP9,X-linked
ADGRG6,Q86SQ4,Autosomal recessive
ADGRL1,O94910,Autosomal dominant
ADGRV1,Q8WXG9,Autosomal dominant
ADGRV1,Q8WXG9,Autosomal recessive
ADGRV1,Q8WXG9,Digenic dominant
ADH1B,P00325,Multifactorial
ADH1C,P00326,Autosomal dominant
ADH1C,P00326,Multifactorial
ADH5,P11766,Digenic recessive
ADK,P55263,Autosomal recessive
ADNP,Q9H2P0,Autosomal dominant
ADPRS,Q9NX46,Autosomal recessive
ADRB1,P08588,Autosomal dominant
ADRB2,P07550,Autosomal dominant
ADRB2,P07550,Autosomal recessive
ADRB2,P07550,Multifactorial
ADRB3,P13945,Autosomal dominant
ADRB3,P13945,Autosomal recessive
ADRB3,P13945,Multifactorial
ADSL,P30566,Autosomal recessive
ADSS1,Q8N142,Autosomal recessive
AEBP1,Q8IUX7,Autosomal recessive
AFF2,P51816,X-linked recessive
AFF3,P51826,Autosomal dominant
AFF4,Q9UHB7,Autosomal dominant
AFG3L2,Q9Y4W6,Autosomal dominant
AFG3L2,Q9Y4W6,Autosomal recessive
AFP,P02771,Autosomal dominant
AFP,P02771,Autosomal recessive
AGA,P20933,Autosomal recessive
AGBL1,Q96MI9,Autosomal dominant
AGBL5,Q8NDL9,Autosomal recessive
AGK,Q53H12,Autosomal recessive
AGL,P35573,Autosomal recessive
AGO1,Q9UL18,Autosomal dominant
AGO2,Q9UKV8,Autosomal dominant
AGPAT2,O15120,Autosomal recessive
AGPS,O00116,Autosomal recessive
AGR2,O95994,Autosomal recessive
AGRN,O00468,Autosomal recessive
AGRP,O00253,Autosomal dominant
AGRP,O00253,Autosomal recessive
AGRP,O00253,Multifactorial
AGT,P01019,Autosomal recessive
AGT,P01019,Multifactorial
AGTPBP1,Q9UPW5,Autosomal recessive
AGTR1,P30556,Autosomal recessive
AGTR1,P30556,Multifactorial
AGXT,P21549,Autosomal recessive
AGXT2,Q9BYV1,Autosomal recessive
AHCY,P23526,Autosomal recessive
